"","claim_number","age_of_driver","gender","marital_status","safty_rating","annual_income","high_education_ind","address_change_ind","living_status","zip_code","claim_date","claim_day_of_week","accident_site","past_num_of_claims","witness_present_ind","liab_prct","channel","policy_report_filed_ind","claim_est_payout","age_of_vehicle","vehicle_category","vehicle_price","vehicle_color","vehicle_weight","fraud"
"16044",22994,32,"F",0,61,10.7668415350269,1,1,"Rent",85013,"1/23/2015","Friday","Local",0,0,7,"Phone",0,0,4,"Compact",9.61587214452889,"black",9.59448725080349,1
"1997",18649,40,"F",0,92,11.611892586369,1,1,"Rent",50054,"4/13/2015","Monday","Local",5,0,85,"Broker",1,0,5,"Compact",9.61587214452889,"white",9.76742684503273,1
"5483",29920,48,"F",0,55,11.5438910442271,1,0,"Own",80024,"1/15/2015","Thursday","Local",0,0,47,"Broker",1,7.65462804351361,7,"Compact",9.61587214452889,"red",10.7461849066609,1
"760",16506,40,"F",0,78,11.5622773760922,1,0,"Rent",80003,"9/24/2016","Saturday","Parking Lot",4,0,97,"Broker",0,8.06440688967292,1,"Compact",11.3158039186707,"white",9.99093087276651,1
"10001",11820,41,"M",1,39,10.7329996076166,1,1,"Own",50020,"12/4/2015","Friday","Local",0,0,3,"Phone",0,8.09775186945206,1,"Compact",9.61587214452889,"gray",9.53761992145259,1
"11071",25108,49,"F",1,70,11.6030038006968,0,0,"Rent",85053,"6/2/2016","Thursday","Local",5,0,4,"Online",1,0,1,"Compact",10.4693299180965,"white",9.8230861418697,1
"1639",1179,32,"F",0,85,11.5609343716565,1,1,"Own",20151,"7/6/2015","Monday","Local",0,0,96,"Phone",1,7.43798933471248,9,"Large",11.1185657672318,"silver",10.3340967348877,1
"3479",22331,41,"M",1,67,11.0433537424394,0,1,"Rent",20109,"2/9/2016","Tuesday","Local",5,0,16,"Broker",1,8.49934078120988,1,"Large",10.4803621924919,"black",8.34766456423295,1
"15408",19851,32,"F",1,50,10.8309160288207,0,1,"Own",85068,"4/10/2016","Sunday","Local",29,1,64,"Broker",1,0,7,"Compact",9.61587214452889,"silver",10.7597922179615,1
"9699",22971,47,"M",1,66,11.6339122520191,1,1,"Rent",80025,"7/12/2016","Tuesday","Highway",10,1,21,"Phone",1,7.5734027858395,1,"Medium",9.61587214452889,"gray",9.65410855182068,1
"16873",21950,38,"F",0,94,10.6159225220034,1,0,"Own",20151,"6/16/2016","Thursday","Local",0,1,69,"Broker",1,0,1,"Compact",9.61587214452889,"white",9.89117599588716,1
"9103",17620,39,"M",1,92,11.6651313978596,1,0,"Rent",50055,"9/13/2016","Tuesday","Local",6,0,50,"Broker",1,7.88056244089095,13,"Large",11.0588106122029,"other",9.97163983709553,1
"9787",16180,62,"M",1,80,11.03529280856,1,0,"Rent",20137,"8/1/2016","Monday","Local",3,0,93,"Broker",1,6.76523503599105,1,"Medium",9.61587214452889,"black",9.47053170348774,1
"1061",15032,38,"F",1,76,10.9331069697173,1,1,"Own",85028,"9/19/2016","Monday","Local",0,1,40,"Phone",1,8.84560589421469,1,"Compact",11.0677971523745,"black",11.0823202550871,1
"1714",17438,26,"M",1,84,10.5051771226072,0,1,"Rent",15021,"1/2/2016","Saturday","Local",0,0,37,"Online",1,8.55061055922716,7,"Medium",9.61587214452889,"other",10.0749296967224,1
"9125",16667,48,"M",1,60,11.7290202318711,1,0,"Own",50054,"5/5/2015","Tuesday","Highway",0,0,93,"Broker",1,9.06202016187822,1,"Medium",9.61587214452889,"silver",9.69987675632156,1
"5577",29531,57,"M",1,67,11.6664016316503,1,1,"Rent",20109,"6/12/2016","Sunday","Local",16,0,38,"Phone",1,0,1,"Large",9.61587214452889,"red",10.3679292880872,1
"17096",1168,47,"F",1,60,10.3963833941361,1,1,"Rent",15028,"11/13/2016","Sunday","Highway",0,0,76,"Broker",0,0,4,"Medium",9.61587214452889,"black",9.21408813333702,1
"5700",2594,51,"M",1,73,11.4650893455553,1,0,"Rent",80040,"12/1/2015","Tuesday","Local",0,1,95,"Broker",1,8.78098720253947,1,"Large",10.5200385314519,"white",11.0988232078985,1
"12511",14666,72,"M",1,46,11.532943755284,1,1,"Own",15031,"6/25/2015","Thursday","Highway",13,0,99,"Broker",1,0,2,"Medium",9.61587214452889,"white",10.5219256086711,1
"11680",18104,36,"M",1,56,10.389303013298,0,1,"Rent",20120,"2/23/2016","Tuesday","Local",13,1,99,"Broker",1,8.28783788704973,1,"Large",10.8891794348281,"white",10.9203619583244,1
"3805",24686,33,"F",1,56,10.5291585679712,1,1,"Rent",15025,"1/10/2016","Sunday","Local",11,1,99,"Online",1,8.2489999715483,3,"Compact",9.61587214452889,"black",9.97712875112516,1
"17118",29643,38,"M",0,95,10.4550135634285,0,1,"Rent",50012,"5/12/2015","Tuesday","Highway",0,0,50,"Broker",0,0,1,"Compact",9.61587214452889,"black",10.004519988053,1
"12703",4139,33,"F",1,79,10.9920663402259,0,1,"Own",15033,"6/9/2015","Tuesday","Parking Lot",12,0,36,"Broker",1,0,1,"Compact",10.7405931642618,"white",9.32373237224304,1
"13163",22978,39,"M",0,90,10.7036264176742,1,0,"Own",80005,"9/20/2015","Sunday","Local",15,0,50,"Broker",1,8.17404351020176,1,"Compact",9.61587214452889,"black",10.573616147821,1
"2000",16059,39,"M",1,50,11.6839164054218,0,1,"Own",50022,"9/21/2015","Monday","Local",0,1,16,"Online",1,0,1,"Compact",9.61587214452889,"silver",10.3172847888541,1
"6438",26297,35,"F",1,90,10.842048453056,0,0,"Own",15007,"12/16/2015","Wednesday","Highway",0,1,92,"Broker",0,9.05950934267359,1,"Compact",9.61587214452889,"red",10.3963151015871,1
"4015",24121,45,"M",1,91,11.6900920912444,1,0,"Rent",50047,"5/21/2016","Saturday","Parking Lot",4,0,94,"Phone",0,0,2,"Large",10.1650744822474,"red",10.137024861128,1
"4765",12448,42,"M",1,67,11.1075703508125,0,0,"Own",50054,"2/5/2015","Thursday","Parking Lot",12,0,17,"Broker",1,0,1,"Medium",9.61587214452889,"other",9.83713634948293,1
"12961",2833,52,"F",1,53,10.9262441889007,1,0,"Rent",15022,"6/15/2015","Monday","Local",3,0,50,"Broker",0,8.84230398775179,1,"Large",11.1342546168243,"other",9.94017574666466,1
"8952",2162,46,"M",1,96,11.1397435997822,1,0,"Own",80006,"12/15/2015","Tuesday","Local",0,1,7,"Broker",0,9.54166078930779,1,"Medium",9.61587214452889,"blue",9.84432440827217,1
"5462",12763,34,"M",0,82,10.6027658990263,0,1,"Rent",15047,"4/24/2015","Friday","Local",0,0,87,"Broker",0,0,1,"Medium",9.61587214452889,"other",9.79622120137144,1
"1234",7663,53,"F",0,68,10.8443928451742,1,1,"Own",50040,"6/5/2016","Sunday","Local",0,0,97,"Broker",0,0,11,"Compact",9.61587214452889,"blue",10.5007922191521,1
"14029",11329,34,"F",0,92,11.4030213092625,0,0,"Own",50035,"3/31/2015","Tuesday","Local",0,0,2,"Phone",1,8.49285746513437,1,"Medium",10.8370095380886,"silver",10.0315367336374,1
"5204",14397,45,"M",1,52,10.6690484136051,1,1,"Own",85074,"3/25/2015","Wednesday","Local",15,1,53,"Broker",1,7.840088637023,5,"Medium",9.61587214452889,"white",10.2505849756954,1
"1969",2176,53,"M",0,62,10.87596956406,1,1,"Rent",80102,"7/27/2015","Monday","Highway",1,0,66,"Phone",1,0,1,"Medium",9.61587214452889,"gray",10.5265370250734,1
"11297",15030,53,"F",0,95,11.6030951824808,1,0,"Rent",50009,"1/26/2016","Tuesday","Highway",0,1,67,"Broker",1,0,1,"Compact",9.61587214452889,"blue",10.2048974367964,1
"2002",1084,34,"M",0,74,11.6549544009898,0,1,"Own",80015,"6/11/2016","Saturday","Parking Lot",0,0,86,"Phone",1,0,1,"Large",9.61587214452889,"gray",10.0421283806105,1
"6460",3884,38,"F",1,45,11.6422680969733,1,0,"Rent",20137,"6/12/2016","Sunday","Highway",7,0,33,"Broker",1,8.25657879503617,1,"Large",10.8165803449025,"red",10.0924314651304,1
"16387",25782,41,"F",0,59,10.5546662482736,0,1,"Own",80028,"2/22/2015","Sunday","Highway",1,0,63,"Broker",1,0,1,"Compact",11.626906870716,"black",10.5341304399131,1
"6121",26372,46,"M",0,64,10.637728690631,1,1,"Own",15012,"2/27/2016","Saturday","Highway",0,0,0,"Phone",1,0,8,"Large",9.61587214452889,"black",10.336566014446,1
"5166",13586,39,"F",1,89,11.7300107017005,1,1,"Rent",15021,"1/28/2016","Thursday","Parking Lot",0,0,19,"Broker",1,7.4727565391939,1,"Large",9.61587214452889,"silver",8.69700126087912,1
"7010",18807,52,"F",1,53,11.5843527043112,1,1,"Rent",15032,"9/1/2016","Thursday","Highway",4,1,100,"Broker",1,5.9057160087655,3,"Medium",9.79187816370353,"black",10.0427925226893,1
"13439",16210,40,"F",0,79,11.3103685472644,1,0,"Own",80103,"6/19/2015","Friday","Highway",0,0,42,"Broker",1,0,1,"Medium",9.81221595592872,"white",9.2072909276434,1
"7427",4145,41,"F",0,91,11.3185758603633,1,1,"Own",20109,"1/3/2015","Saturday","Local",13,0,1,"Broker",0,0,1,"Medium",9.61587214452889,"white",9.25555785409157,1
"1912",11615,51,"F",1,64,10.7354832149149,1,0,"Own",80035,"2/3/2016","Wednesday","Highway",0,0,5,"Broker",0,0,1,"Large",10.3386877408487,"gray",10.3555259942214,1
"12466",14672,25,"F",0,43,11.4722284626381,0,1,"Rent",20135,"7/28/2015","Tuesday","Parking Lot",0,0,5,"Online",1,0,1,"Medium",10.4866675908072,"gray",9.69340466447733,1
"4383",23740,41,"M",1,71,11.2167272327501,1,1,"Rent",20110,"8/4/2016","Thursday","Local",15,0,1,"Phone",1,6.56189309446389,7,"Compact",9.61587214452889,"black",9.83116623989379,1
"3194",19179,29,"M",1,80,11.2654636060048,1,0,"Rent",20165,"11/26/2016","Saturday","Highway",0,0,19,"Online",0,0,1,"Large",10.4137336274862,"other",10.1698061257171,1
"4578",18362,77,"M",1,75,11.3623002301192,1,1,"Rent",80014,"3/3/2015","Tuesday","Highway",20,0,50,"Broker",1,0,8,"Compact",10.8915296478025,"black",9.81264677017864,1
"13802",17298,51,"M",1,94,11.3984793555774,0,1,"Own",50031,"7/23/2015","Thursday","Highway",0,0,62,"Broker",0,0,6,"Large",9.61587214452889,"black",9.06103649098669,1
"4655",18790,59,"M",0,77,10.5618362275534,1,0,"Own",15049,"3/30/2015","Monday","Local",3,0,90,"Broker",0,0,2,"Compact",9.61587214452889,"silver",10.5215459593829,1
"12742",20505,33,"M",1,58,11.5470756524001,1,0,"Rent",80011,"9/21/2015","Monday","Local",0,0,50,"Broker",1,8.1338016594586,1,"Large",10.804550970752,"blue",10.7468607701495,1
"3452",21751,49,"M",1,54,10.8493953373824,1,1,"Own",15005,"4/19/2016","Tuesday","Highway",0,0,0,"Broker",1,0,1,"Compact",11.0503218321738,"gray",10.0555015406913,1
"4987",14691,46,"M",1,43,10.5510880531401,1,1,"Own",85011,"3/4/2016","Friday","Highway",0,0,50,"Broker",0,8.47241755822316,1,"Compact",9.61587214452889,"black",10.1427150666528,1
"13814",22968,42,"M",1,64,10.9694733383771,1,1,"Rent",85007,"8/11/2015","Tuesday","Local",10,0,96,"Phone",1,0,8,"Compact",9.61587214452889,"red",10.2071564460525,1
"7744",15402,19,"M",0,23,11.1748479405638,0,1,"Own",15059,"4/11/2015","Saturday","Parking Lot",0,0,72,"Online",0,0,3,"Medium",9.61587214452889,"black",10.4480154395312,1
"9958",11018,27,"M",1,88,11.0447282032599,0,1,"Rent",20107,"3/14/2016","Monday","Parking Lot",0,0,92,"Online",1,0,5,"Compact",9.61587214452889,"red",9.29577395198187,1
"12848",8161,44,"F",1,86,11.6546767316748,1,0,"Own",20109,"3/13/2016","Sunday","Local",5,1,41,"Broker",1,0,9,"Large",10.326217173742,"other",9.75502919010222,1
"5013",13057,32,"M",1,76,11.2430833106468,1,0,"Rent",15022,"10/8/2016","Saturday","Highway",0,0,5,"Online",1,9.06873072364323,1,"Medium",9.61587214452889,"red",9.42777312688958,1
"17738",21848,36,"M",0,73,11.4647221285837,0,1,"Own",15042,"8/8/2015","Saturday","Highway",14,0,1,"Broker",0,0,1,"Compact",10.609341732862,"silver",9.95446569894477,1
"14949",12266,43,"M",0,80,11.4909456693622,1,0,"Own",15003,"5/1/2016","Sunday","Local",0,0,51,"Broker",0,0,1,"Medium",10.4065699914937,"black",10.1199973377989,1
"6253",29302,44,"F",0,83,11.4995666317672,1,0,"Rent",15021,"9/26/2016","Monday","Highway",0,0,56,"Phone",1,0,3,"Compact",9.61587214452889,"silver",10.3403662481801,1
"4467",11588,63,"M",1,81,10.7682112683538,1,1,"Rent",20160,"2/2/2016","Tuesday","Highway",0,1,76,"Phone",0,0,4,"Medium",9.61587214452889,"red",9.92273404776855,1
"7155",2108,28,"F",1,90,10.9202026372372,1,0,"Rent",15024,"1/5/2015","Monday","Local",0,0,49,"Phone",0,0,1,"Large",10.3698496225969,"other",9.83337038605206,1
"8953",16926,40,"M",1,80,10.7197811379178,1,0,"Own",50006,"10/18/2016","Tuesday","Local",0,0,50,"Broker",1,4.90719885214679,2,"Medium",9.61587214452889,"silver",9.37923081296604,1
"12414",22388,43,"F",1,85,11.2465220541228,1,1,"Rent",50034,"1/4/2015","Sunday","Local",3,0,100,"Broker",1,7.47073112986393,2,"Compact",10.4260456776473,"red",10.7496509531671,1
